Dataset	Mappers	Reducers	Execution Time
data-pr/input-mini.txt	5	9	0.17764
data-pr/input-mini.txt	5	10	0.17776
data-pr/input-mini.txt	6	1	0.17798
data-pr/input-mini.txt	6	2	0.17742
data-pr/input-mini.txt	6	3	0.17686
data-pr/input-mini.txt	6	4	0.17706
data-pr/input-mini.txt	6	5	0.1772
data-pr/input-mini.txt	6	6	0.17786
data-pr/input-mini.txt	6	7	0.177
data-pr/input-mini.txt	6	8	0.17778
data-pr/input-mini.txt	6	9	0.17796
data-pr/input-mini.txt	6	10	0.17736000000000002
data-pr/input-mini.txt	7	1	0.17758000000000002
data-pr/input-mini.txt	7	2	0.17736000000000002
data-pr/input-mini.txt	7	3	0.17886
data-pr/input-mini.txt	7	4	0.17802
data-pr/input-mini.txt	7	5	0.177
data-pr/input-mini.txt	7	6	0.17726
data-pr/input-mini.txt	7	7	0.1766
data-pr/input-mini.txt	7	8	0.1774
data-pr/input-mini.txt	7	9	0.17784
data-pr/input-mini.txt	7	10	0.17858000000000002
data-pr/input-mini.txt	8	1	0.17984
data-pr/input-mini.txt	8	2	0.18014
data-pr/input-mini.txt	8	3	0.17874
data-pr/input-mini.txt	8	4	0.17808
data-pr/input-mini.txt	8	5	0.17932
data-pr/input-mini.txt	8	6	0.17851999999999998
data-pr/input-mini.txt	8	7	0.17926
data-pr/input-mini.txt	8	8	0.1784
data-pr/input-mini.txt	8	9	0.17852
data-pr/input-mini.txt	8	10	0.17842
data-pr/input-mini.txt	9	1	0.17858000000000002
data-pr/input-mini.txt	9	2	0.17906
data-pr/input-mini.txt	9	3	0.17924
data-pr/input-mini.txt	9	4	0.17818
data-pr/input-mini.txt	9	5	0.17742
data-pr/input-mini.txt	9	6	0.178
data-pr/input-mini.txt	9	7	0.17824
data-pr/input-mini.txt	9	8	0.17794
data-pr/input-mini.txt	9	9	0.17804
data-pr/input-mini.txt	9	10	0.17782
data-pr/input-mini.txt	10	1	0.17856
data-pr/input-mini.txt	10	2	0.17804
data-pr/input-mini.txt	10	3	0.17865999999999999
data-pr/input-mini.txt	10	4	0.17876
data-pr/input-mini.txt	10	5	0.1779
data-pr/input-mini.txt	10	6	0.17854
data-pr/input-mini.txt	10	7	0.17776
data-pr/input-mini.txt	10	8	0.1794
data-pr/input-mini.txt	10	9	0.17718
data-pr/input-mini.txt	10	10	0.17806
data-pr/input-small.txt	1	1	0.17796
data-pr/input-small.txt	1	2	0.1784
data-pr/input-small.txt	1	3	0.17838
data-pr/input-small.txt	1	4	0.17802
data-pr/input-small.txt	1	5	0.17792000000000002
data-pr/input-small.txt	1	6	0.17664
data-pr/input-small.txt	1	7	0.18286
data-pr/input-small.txt	1	8	0.178
data-pr/input-small.txt	1	9	0.17765999999999998
data-pr/input-small.txt	1	10	0.17782
data-pr/input-small.txt	2	1	0.1772
data-pr/input-small.txt	2	2	0.17716
data-pr/input-small.txt	2	3	0.17822
data-pr/input-small.txt	2	4	0.17912
data-pr/input-small.txt	2	5	0.17698
data-pr/input-small.txt	2	6	0.17648000000000003
data-pr/input-small.txt	2	7	0.17738
data-pr/input-small.txt	2	8	0.17562
data-pr/input-small.txt	2	9	0.17714000000000002
data-pr/input-small.txt	2	10	0.17718
data-pr/input-small.txt	3	1	0.1789
data-pr/input-small.txt	3	2	0.17826
data-pr/input-small.txt	3	3	0.1776
data-pr/input-small.txt	3	4	0.1784
data-pr/input-small.txt	3	5	0.1783
data-pr/input-small.txt	3	6	0.17956
data-pr/input-small.txt	3	7	0.17748
data-pr/input-small.txt	3	8	0.17864
data-pr/input-small.txt	3	9	0.17856
data-pr/input-small.txt	3	10	0.17898
data-pr/input-small.txt	4	1	0.17872
data-pr/input-small.txt	4	2	0.17858000000000002
data-pr/input-small.txt	4	3	0.17608000000000001
data-pr/input-small.txt	4	4	0.17784
data-pr/input-small.txt	4	5	0.17824
data-pr/input-small.txt	4	6	0.17765999999999998
data-pr/input-small.txt	4	7	0.17714000000000002
data-pr/input-small.txt	4	8	0.17880000000000001
data-pr/input-small.txt	4	9	0.17724
data-pr/input-small.txt	4	10	0.17738
data-pr/input-small.txt	5	1	0.17764
data-pr/input-small.txt	5	2	0.17752
data-pr/input-small.txt	5	3	0.17808
data-pr/input-small.txt	5	4	0.17772
data-pr/input-small.txt	5	5	0.17892000000000002
data-pr/input-small.txt	5	6	0.17784
data-pr/input-small.txt	5	7	0.178
data-pr/input-small.txt	5	8	0.17668
data-pr/input-small.txt	5	9	0.17806
data-pr/input-small.txt	5	10	0.17726
data-pr/input-small.txt	6	1	0.1766
data-pr/input-small.txt	6	2	0.17714
data-pr/input-small.txt	6	3	0.17704
data-pr/input-small.txt	6	4	0.1772
data-pr/input-small.txt	6	5	0.17643999999999999
data-pr/input-small.txt	6	6	0.17738
data-pr/input-small.txt	6	7	0.17756
data-pr/input-small.txt	6	8	0.17684
data-pr/input-small.txt	6	9	0.17702
data-pr/input-small.txt	6	10	0.1764
data-pr/input-small.txt	7	1	0.17748
data-pr/input-small.txt	7	2	0.17678
data-pr/input-small.txt	7	3	0.1774
data-pr/input-small.txt	7	4	0.1768
data-pr/input-small.txt	7	5	0.17634
data-pr/input-small.txt	7	6	0.17654
data-pr/input-small.txt	7	7	0.1769
data-pr/input-small.txt	7	8	0.17704
data-pr/input-small.txt	7	9	0.17676
data-pr/input-small.txt	7	10	0.17852
data-pr/input-small.txt	8	1	0.17698
data-pr/input-small.txt	8	2	0.17634
data-pr/input-small.txt	8	3	0.17762
data-pr/input-small.txt	8	4	0.17868
data-pr/input-small.txt	8	5	0.18109999999999998
data-pr/input-small.txt	8	6	0.17842
data-pr/input-small.txt	8	7	0.17812
data-pr/input-small.txt	8	8	0.17756
data-pr/input-small.txt	8	9	0.17753999999999998
data-pr/input-small.txt	8	10	0.1767
data-pr/input-small.txt	9	1	0.1776
data-pr/input-small.txt	9	2	0.17751999999999998
data-pr/input-small.txt	9	3	0.17729999999999999
data-pr/input-small.txt	9	4	0.17762
data-pr/input-small.txt	9	5	0.1773
data-pr/input-small.txt	9	6	0.17692000000000002
data-pr/input-small.txt	9	7	0.17746
data-pr/input-small.txt	9	8	0.17762
data-pr/input-small.txt	9	9	0.17726
data-pr/input-small.txt	9	10	0.17746
data-pr/input-small.txt	10	1	0.17796
data-pr/input-small.txt	10	2	0.17687999999999998
data-pr/input-small.txt	10	3	0.1774
data-pr/input-small.txt	10	4	0.17665999999999998
data-pr/input-small.txt	10	5	0.1769
data-pr/input-small.txt	10	6	0.17746
data-pr/input-small.txt	10	7	0.1768
data-pr/input-small.txt	10	8	0.17726
data-pr/input-small.txt	10	9	0.17629999999999998
data-pr/input-small.txt	10	10	0.17652
